ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 14:01:18.978,,,553.0,,
2021-07-26 14:01:20.028,,,,,2178.0
2021-07-26 14:01:21.394,810.0,,,,
2021-07-26 14:01:24.833,,,,725.0,
2021-07-26 14:01:25.515,,788.0,,,
2021-07-26 14:01:26.043,,,,,2158.0
2021-07-26 14:01:26.380,810.0,,,,
2021-07-26 14:01:29.110,,,558.0,,
2021-07-26 14:01:31.380,810.0,,,,
2021-07-26 14:01:32.059,,,,,2178.0
2021-07-26 14:01:33.026,,,,728.0,
2021-07-26 14:01:34.239,,,563.0,,
2021-07-26 14:01:36.374,810.0,,,,
2021-07-26 14:01:38.061,,,,,2187.0
2021-07-26 14:01:38.635,,790.0,,,
2021-07-26 14:01:41.217,,,,731.0,
2021-07-26 14:01:41.363,810.0,,,,
2021-07-26 14:01:44.073,,,,,2226.0
2021-07-26 14:01:44.372,,,570.0,,
2021-07-26 14:01:45.195,,790.0,,,
2021-07-26 14:01:46.355,810.0,,,,
2021-07-26 14:01:49.411,,,,732.0,
2021-07-26 14:01:50.087,,,,,2238.0
2021-07-26 14:01:51.349,810.0,,,,
2021-07-26 14:01:51.498,,,596.0,,
2021-07-26 14:01:51.755,,789.0,,,
2021-07-26 14:01:56.103,,,,,2261.0
2021-07-26 14:01:56.335,810.0,,,,
2021-07-26 14:01:58.315,,790.0,,,
2021-07-26 14:01:58.625,,,624.0,,
2021-07-26 14:02:01.333,810.0,,,,
2021-07-26 14:02:02.118,,,,,2320.0
2021-07-26 14:02:04.875,,792.0,,,
2021-07-26 14:02:06.314,810.0,,,,
2021-07-26 14:02:08.130,,,,,2334.0
2021-07-26 14:02:11.320,810.0,,,,
2021-07-26 14:02:11.435,,794.0,,,
2021-07-26 14:02:11.753,,,639.0,,
2021-07-26 14:02:14.145,,,,,2384.0
2021-07-26 14:02:16.321,810.0,,,,
2021-07-26 14:02:17.995,,794.0,,,
2021-07-26 14:02:20.161,,,,,2374.0
2021-07-26 14:02:21.308,810.0,,,,
2021-07-26 14:02:24.555,,795.0,,,
2021-07-26 14:02:25.884,,,643.0,,
2021-07-26 14:02:26.179,,,,,2374.0
2021-07-26 14:02:26.297,810.0,,,,
2021-07-26 14:02:31.125,,795.0,,,
2021-07-26 14:02:31.299,811.0,,,,
2021-07-26 14:02:32.192,,,,,2397.0
2021-07-26 14:02:34.636,,,,739.0,
2021-07-26 14:02:36.274,812.0,,,,
2021-07-26 14:02:37.705,,795.0,,,
2021-07-26 14:02:38.205,,,,,2509.0
2021-07-26 14:02:41.012,,,648.0,,
2021-07-26 14:02:41.263,812.0,,,,
2021-07-26 14:02:42.830,,,,739.0,
2021-07-26 14:02:44.218,,,,,2535.0
2021-07-26 14:02:46.271,813.0,,,,
2021-07-26 14:02:50.140,,,652.0,,
2021-07-26 14:02:50.223,,,,,2596.0
2021-07-26 14:02:50.847,,797.0,,,
2021-07-26 14:02:51.034,,,,740.0,
2021-07-26 14:02:51.263,813.0,,,,
2021-07-26 14:02:56.233,,,,,2657.0
2021-07-26 14:02:56.267,814.0,,,,
2021-07-26 14:02:57.405,,797.0,,,
2021-07-26 14:02:59.218,,,,742.0,
2021-07-26 14:03:01.251,814.0,,,,
2021-07-26 14:03:02.248,,,,,2689.0
2021-07-26 14:03:03.965,,796.0,,,
2021-07-26 14:03:05.279,,,658.0,,
2021-07-26 14:03:06.240,814.0,,,,
2021-07-26 14:03:07.411,,,,743.0,
2021-07-26 14:03:08.264,,,,,2737.0
2021-07-26 14:03:10.525,,798.0,,,
2021-07-26 14:03:11.230,814.0,,,,
2021-07-26 14:03:14.301,,,,,2773.0
2021-07-26 14:03:15.609,,,,744.0,
2021-07-26 14:03:16.232,814.0,,,,
2021-07-26 14:03:17.085,,797.0,,,
2021-07-26 14:03:18.406,,,662.0,,
2021-07-26 14:03:20.314,,,,,2807.0
