ts,s8lp,sen0220,t3022,scd30,cjmcu811
2021-07-26 16:36:45.356,,,488.0,,
2021-07-26 16:36:47.593,,,,,3235.0
2021-07-26 16:36:48.461,,,,477.0,
2021-07-26 16:36:48.856,533.0,,,,
2021-07-26 16:36:51.060,,530.0,,,
2021-07-26 16:36:52.487,,,490.0,,
2021-07-26 16:36:53.612,,,,,3257.0
2021-07-26 16:36:53.851,534.0,,,,
2021-07-26 16:36:56.656,,,,477.0,
2021-07-26 16:36:57.620,,531.0,,,
2021-07-26 16:36:58.842,534.0,,,,
2021-07-26 16:36:59.626,,,,,3235.0
2021-07-26 16:37:01.610,,,491.0,,
2021-07-26 16:37:03.839,534.0,,,,
2021-07-26 16:37:04.179,,532.0,,,
2021-07-26 16:37:04.847,,,,477.0,
2021-07-26 16:37:05.641,,,,,3257.0
2021-07-26 16:37:08.838,534.0,,,,
2021-07-26 16:37:10.739,,531.0,,,
2021-07-26 16:37:11.654,,,,,3297.0
2021-07-26 16:37:12.742,,,494.0,,
2021-07-26 16:37:13.040,,,,477.0,
2021-07-26 16:37:13.825,534.0,,,,
2021-07-26 16:37:17.299,,531.0,,,
2021-07-26 16:37:17.669,,,,,3276.0
2021-07-26 16:37:18.814,534.0,,,,
2021-07-26 16:37:21.236,,,,477.0,
2021-07-26 16:37:23.683,,,,,3322.0
2021-07-26 16:37:23.807,534.0,,,,
2021-07-26 16:37:23.866,,,496.0,,
2021-07-26 16:37:28.802,534.0,,,,
2021-07-26 16:37:29.428,,,,477.0,
2021-07-26 16:37:29.685,,,,,3322.0
2021-07-26 16:37:30.420,,530.0,,,
2021-07-26 16:37:33.798,533.0,,,,
2021-07-26 16:37:33.997,,,497.0,,
2021-07-26 16:37:35.704,,,,,3322.0
2021-07-26 16:37:36.980,,531.0,,,
2021-07-26 16:37:37.620,,,,477.0,
2021-07-26 16:37:38.792,534.0,,,,
2021-07-26 16:37:40.125,,,498.0,,
2021-07-26 16:37:41.717,,,,,3322.0
2021-07-26 16:37:43.540,,532.0,,,
2021-07-26 16:37:43.785,535.0,,,,
2021-07-26 16:37:45.815,,,,477.0,
2021-07-26 16:37:47.730,,,,,3338.0
2021-07-26 16:37:48.784,535.0,,,,
2021-07-26 16:37:49.255,,,500.0,,
2021-07-26 16:37:50.100,,532.0,,,
2021-07-26 16:37:53.744,,,,,3360.0
