Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
4926,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,843 ppm,,,,28/09/2021 10:04:13 p. m.
4927,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,844 ppm,,,,28/09/2021 10:04:18 p. m.
4928,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,847 ppm,,,,28/09/2021 10:04:23 p. m.
4929,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,845 ppm,,,,28/09/2021 10:04:28 p. m.
4930,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,852 ppm,,,,28/09/2021 10:04:33 p. m.
4931,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,854 ppm,,,,28/09/2021 10:04:38 p. m.
4932,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,857 ppm,,,,28/09/2021 10:04:43 p. m.
4933,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,854 ppm,,,,28/09/2021 10:04:48 p. m.
4934,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,852 ppm,,,,28/09/2021 10:04:53 p. m.
4935,,26.4 °C,22.1 °C,20.7 °C,71.3 %,3 ppm,858 ppm,,,,28/09/2021 10:04:58 p. m.
4936,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,853 ppm,,,,28/09/2021 10:05:03 p. m.
4937,,26.4 °C,22.1 °C,20.7 °C,71.3 %,2 ppm,857 ppm,,,,28/09/2021 10:05:08 p. m.
4938,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,855 ppm,,,,28/09/2021 10:05:13 p. m.
4939,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,848 ppm,,,,28/09/2021 10:05:18 p. m.
4940,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,847 ppm,,,,28/09/2021 10:05:23 p. m.
4941,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,855 ppm,,,,28/09/2021 10:05:28 p. m.
4942,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,857 ppm,,,,28/09/2021 10:05:33 p. m.
4943,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,858 ppm,,,,28/09/2021 10:05:38 p. m.
4944,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,857 ppm,,,,28/09/2021 10:05:43 p. m.
4945,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,854 ppm,,,,28/09/2021 10:05:48 p. m.
4946,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,849 ppm,,,,28/09/2021 10:05:53 p. m.
4947,,26.4 °C,22.1 °C,20.7 °C,71.2 %,3 ppm,849 ppm,,,,28/09/2021 10:05:58 p. m.
