Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
71,,26.7 °C,20.3 °C,17.7 °C,58.0 %,1 ppm,798 ppm,,,,23/09/2021 04:46:05 p. m.
72,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,804 ppm,,,,23/09/2021 04:46:10 p. m.
73,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,809 ppm,,,,23/09/2021 04:46:15 p. m.
74,,26.8 °C,20.3 °C,17.8 °C,58.0 %,0 ppm,811 ppm,,,,23/09/2021 04:46:20 p. m.
75,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,805 ppm,,,,23/09/2021 04:46:25 p. m.
76,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,801 ppm,,,,23/09/2021 04:46:30 p. m.
77,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,801 ppm,,,,23/09/2021 04:46:35 p. m.
78,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,798 ppm,,,,23/09/2021 04:46:40 p. m.
79,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,795 ppm,,,,23/09/2021 04:46:45 p. m.
80,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,795 ppm,,,,23/09/2021 04:46:50 p. m.
81,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,792 ppm,,,,23/09/2021 04:46:55 p. m.
82,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,788 ppm,,,,23/09/2021 04:47:00 p. m.
83,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,788 ppm,,,,23/09/2021 04:47:05 p. m.
84,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,793 ppm,,,,23/09/2021 04:47:10 p. m.
85,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,795 ppm,,,,23/09/2021 04:47:15 p. m.
86,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,803 ppm,,,,23/09/2021 04:47:20 p. m.
87,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,806 ppm,,,,23/09/2021 04:47:25 p. m.
88,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,814 ppm,,,,23/09/2021 04:47:30 p. m.
89,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,811 ppm,,,,23/09/2021 04:47:35 p. m.
90,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,816 ppm,,,,23/09/2021 04:47:40 p. m.
91,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,821 ppm,,,,23/09/2021 04:47:45 p. m.
92,,26.8 °C,20.3 °C,17.8 °C,58.1 %,1 ppm,819 ppm,,,,23/09/2021 04:47:50 p. m.
93,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,821 ppm,,,,23/09/2021 04:47:55 p. m.
94,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,814 ppm,,,,23/09/2021 04:48:00 p. m.
95,,26.8 °C,20.3 °C,17.8 °C,58.1 %,1 ppm,814 ppm,,,,23/09/2021 04:48:05 p. m.
96,,26.8 °C,20.3 °C,17.8 °C,58.1 %,1 ppm,816 ppm,,,,23/09/2021 04:48:10 p. m.
97,,26.8 °C,20.3 °C,17.8 °C,58.1 %,1 ppm,820 ppm,,,,23/09/2021 04:48:15 p. m.
98,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,830 ppm,,,,23/09/2021 04:48:20 p. m.
99,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,830 ppm,,,,23/09/2021 04:48:25 p. m.
100,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,828 ppm,,,,23/09/2021 04:48:30 p. m.
101,,26.8 °C,20.3 °C,17.8 °C,58.0 %,1 ppm,831 ppm,,,,23/09/2021 04:48:35 p. m.
102,,26.8 °C,20.3 °C,17.8 °C,58.1 %,1 ppm,835 ppm,,,,23/09/2021 04:48:40 p. m.
103,,26.8 °C,20.4 °C,17.9 °C,58.2 %,1 ppm,835 ppm,,,,23/09/2021 04:48:45 p. m.
104,,26.8 °C,20.3 °C,17.8 °C,58.2 %,1 ppm,838 ppm,,,,23/09/2021 04:48:50 p. m.
105,,26.8 °C,20.3 °C,17.8 °C,58.1 %,1 ppm,837 ppm,,,,23/09/2021 04:48:55 p. m.
106,,26.8 °C,20.3 °C,17.8 °C,58.1 %,1 ppm,836 ppm,,,,23/09/2021 04:49:00 p. m.
107,,26.8 °C,20.3 °C,17.8 °C,58.1 %,1 ppm,837 ppm,,,,23/09/2021 04:49:05 p. m.
108,,26.8 °C,20.3 °C,17.8 °C,58.2 %,1 ppm,846 ppm,,,,23/09/2021 04:49:10 p. m.
109,,26.8 °C,20.3 °C,17.8 °C,58.2 %,1 ppm,850 ppm,,,,23/09/2021 04:49:15 p. m.
110,,26.8 °C,20.3 °C,17.8 °C,58.2 %,1 ppm,851 ppm,,,,23/09/2021 04:49:20 p. m.
111,,26.8 °C,20.3 °C,17.8 °C,58.2 %,1 ppm,847 ppm,,,,23/09/2021 04:49:25 p. m.
112,,26.9 °C,20.4 °C,17.9 °C,58.2 %,1 ppm,849 ppm,,,,23/09/2021 04:49:30 p. m.
