Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
270,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:37 a. m.
271,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:38 a. m.
272,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,480 ppm,,,,13/09/2021 09:36:39 a. m.
273,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,481 ppm,,,,13/09/2021 09:36:40 a. m.
274,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,481 ppm,,,,13/09/2021 09:36:41 a. m.
275,,25.3 °C,21.3 °C,19.8 °C,71.9 %,1 ppm,479 ppm,,,,13/09/2021 09:36:42 a. m.
276,,25.3 °C,21.3 °C,19.8 °C,71.9 %,1 ppm,479 ppm,,,,13/09/2021 09:36:43 a. m.
277,,25.3 °C,21.3 °C,19.8 °C,71.9 %,1 ppm,477 ppm,,,,13/09/2021 09:36:44 a. m.
278,,25.3 °C,21.3 °C,19.8 °C,71.9 %,1 ppm,477 ppm,,,,13/09/2021 09:36:45 a. m.
279,,25.3 °C,21.3 °C,19.8 °C,71.9 %,1 ppm,475 ppm,,,,13/09/2021 09:36:46 a. m.
280,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,475 ppm,,,,13/09/2021 09:36:47 a. m.
281,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,475 ppm,,,,13/09/2021 09:36:48 a. m.
282,,25.3 °C,21.2 °C,19.8 °C,71.8 %,0 ppm,475 ppm,,,,13/09/2021 09:36:49 a. m.
283,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,475 ppm,,,,13/09/2021 09:36:50 a. m.
284,,25.3 °C,21.2 °C,19.8 °C,71.8 %,1 ppm,475 ppm,,,,13/09/2021 09:36:51 a. m.
285,,25.3 °C,21.2 °C,19.8 °C,71.9 %,1 ppm,477 ppm,,,,13/09/2021 09:36:52 a. m.
