Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
90,,26.5 °C,22.2 °C,20.8 °C,71.1 %,1 ppm,762 ppm,,,,01/07/2021 04:02:29 p. m.
91,,26.5 °C,22.2 °C,20.8 °C,71.1 %,1 ppm,764 ppm,,,,01/07/2021 04:02:44 p. m.
92,,26.5 °C,22.2 °C,20.8 °C,71.0 %,1 ppm,766 ppm,,,,01/07/2021 04:02:59 p. m.
93,,26.5 °C,22.2 °C,20.8 °C,71.0 %,1 ppm,770 ppm,,,,01/07/2021 04:03:14 p. m.
94,,26.5 °C,22.2 °C,20.8 °C,71.0 %,1 ppm,764 ppm,,,,01/07/2021 04:03:29 p. m.
95,,26.5 °C,22.2 °C,20.8 °C,71.0 %,1 ppm,759 ppm,,,,01/07/2021 04:03:44 p. m.
96,,26.5 °C,22.2 °C,20.8 °C,71.0 %,1 ppm,764 ppm,,,,01/07/2021 04:03:59 p. m.
97,,26.5 °C,22.2 °C,20.8 °C,71.0 %,1 ppm,762 ppm,,,,01/07/2021 04:04:14 p. m.
98,,26.5 °C,22.2 °C,20.8 °C,71.0 %,1 ppm,763 ppm,,,,01/07/2021 04:04:29 p. m.
99,,26.5 °C,22.2 °C,20.7 °C,71.0 %,1 ppm,763 ppm,,,,01/07/2021 04:04:44 p. m.
100,,26.5 °C,22.2 °C,20.7 °C,71.0 %,1 ppm,764 ppm,,,,01/07/2021 04:04:59 p. m.
101,,26.5 °C,22.2 °C,20.7 °C,71.0 %,1 ppm,768 ppm,,,,01/07/2021 04:05:14 p. m.
102,,26.5 °C,22.2 °C,20.7 °C,71.0 %,1 ppm,766 ppm,,,,01/07/2021 04:05:29 p. m.
103,,26.6 °C,22.2 °C,20.7 °C,71.0 %,1 ppm,775 ppm,,,,01/07/2021 04:05:44 p. m.
104,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,776 ppm,,,,01/07/2021 04:05:59 p. m.
105,,26.5 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,777 ppm,,,,01/07/2021 04:06:14 p. m.
106,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,772 ppm,,,,01/07/2021 04:06:29 p. m.
107,,26.6 °C,22.3 °C,20.8 °C,70.9 %,2 ppm,776 ppm,,,,01/07/2021 04:06:44 p. m.
108,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,780 ppm,,,,01/07/2021 04:06:59 p. m.
109,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,777 ppm,,,,01/07/2021 04:07:14 p. m.
110,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,782 ppm,,,,01/07/2021 04:07:29 p. m.
111,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,772 ppm,,,,01/07/2021 04:07:44 p. m.
112,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,765 ppm,,,,01/07/2021 04:07:59 p. m.
113,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,772 ppm,,,,01/07/2021 04:08:14 p. m.
114,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,784 ppm,,,,01/07/2021 04:08:29 p. m.
115,,26.7 °C,22.3 °C,20.9 °C,71.0 %,1 ppm,776 ppm,,,,01/07/2021 04:08:44 p. m.
116,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,776 ppm,,,,01/07/2021 04:08:59 p. m.
117,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,768 ppm,,,,01/07/2021 04:09:14 p. m.
118,,26.6 °C,22.3 °C,20.8 °C,70.9 %,1 ppm,770 ppm,,,,01/07/2021 04:09:29 p. m.
119,,26.7 °C,22.4 °C,20.9 °C,71.0 %,1 ppm,774 ppm,,,,01/07/2021 04:09:44 p. m.
120,,26.7 °C,22.4 °C,20.9 °C,71.0 %,1 ppm,776 ppm,,,,01/07/2021 04:09:59 p. m.
121,,26.7 °C,22.4 °C,20.9 °C,71.0 %,1 ppm,771 ppm,,,,01/07/2021 04:10:14 p. m.
122,,26.7 °C,22.4 °C,20.9 °C,71.0 %,1 ppm,770 ppm,,,,01/07/2021 04:10:29 p. m.
123,,26.7 °C,22.4 °C,20.9 °C,71.0 %,1 ppm,775 ppm,,,,01/07/2021 04:10:44 p. m.
124,,26.7 °C,22.4 °C,20.9 °C,71.0 %,1 ppm,782 ppm,,,,01/07/2021 04:10:59 p. m.
125,,26.7 °C,22.4 °C,20.9 °C,71.0 %,1 ppm,780 ppm,,,,01/07/2021 04:11:14 p. m.
126,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,779 ppm,,,,01/07/2021 04:11:29 p. m.
127,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,777 ppm,,,,01/07/2021 04:11:44 p. m.
128,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,784 ppm,,,,01/07/2021 04:11:59 p. m.
129,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,792 ppm,,,,01/07/2021 04:12:14 p. m.
130,,26.7 °C,22.4 °C,20.9 °C,71.0 %,1 ppm,785 ppm,,,,01/07/2021 04:12:29 p. m.
131,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,780 ppm,,,,01/07/2021 04:12:44 p. m.
132,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,776 ppm,,,,01/07/2021 04:12:59 p. m.
133,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,769 ppm,,,,01/07/2021 04:13:14 p. m.
134,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,774 ppm,,,,01/07/2021 04:13:29 p. m.
135,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,782 ppm,,,,01/07/2021 04:13:44 p. m.
136,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,799 ppm,,,,01/07/2021 04:13:59 p. m.
137,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,782 ppm,,,,01/07/2021 04:14:14 p. m.
138,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,772 ppm,,,,01/07/2021 04:14:29 p. m.
139,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,763 ppm,,,,01/07/2021 04:14:44 p. m.
140,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,769 ppm,,,,01/07/2021 04:14:59 p. m.
141,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,779 ppm,,,,01/07/2021 04:15:14 p. m.
142,,26.7 °C,22.4 °C,20.9 °C,70.9 %,1 ppm,782 ppm,,,,01/07/2021 04:15:29 p. m.
143,,26.8 °C,22.4 °C,20.9 °C,70.8 %,1 ppm,774 ppm,,,,01/07/2021 04:15:44 p. m.
144,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,770 ppm,,,,01/07/2021 04:15:59 p. m.
145,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,773 ppm,,,,01/07/2021 04:16:14 p. m.
146,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,773 ppm,,,,01/07/2021 04:16:29 p. m.
147,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,774 ppm,,,,01/07/2021 04:16:44 p. m.
148,,26.7 °C,22.4 °C,20.9 °C,70.8 %,1 ppm,777 ppm,,,,01/07/2021 04:16:59 p. m.
149,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,780 ppm,,,,01/07/2021 04:17:14 p. m.
150,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,770 ppm,,,,01/07/2021 04:17:29 p. m.
151,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,767 ppm,,,,01/07/2021 04:17:44 p. m.
152,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,774 ppm,,,,01/07/2021 04:17:59 p. m.
153,,26.8 °C,22.5 °C,21.0 °C,70.8 %,1 ppm,780 ppm,,,,01/07/2021 04:18:14 p. m.
