Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
66,,25.5 °C,21.0 °C,19.3 °C,68.6 %,1 ppm,607 ppm,,,,30/06/2021 01:15:28 p. m.
67,,25.5 °C,21.0 °C,19.3 °C,68.6 %,1 ppm,613 ppm,,,,30/06/2021 01:15:33 p. m.
68,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,613 ppm,,,,30/06/2021 01:15:38 p. m.
69,,25.5 °C,21.0 °C,19.3 °C,68.6 %,1 ppm,612 ppm,,,,30/06/2021 01:15:43 p. m.
70,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,611 ppm,,,,30/06/2021 01:15:48 p. m.
71,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,611 ppm,,,,30/06/2021 01:15:53 p. m.
72,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,609 ppm,,,,30/06/2021 01:15:58 p. m.
73,,25.5 °C,21.0 °C,19.3 °C,68.6 %,1 ppm,613 ppm,,,,30/06/2021 01:16:03 p. m.
74,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,615 ppm,,,,30/06/2021 01:16:08 p. m.
75,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,616 ppm,,,,30/06/2021 01:16:13 p. m.
76,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,616 ppm,,,,30/06/2021 01:16:18 p. m.
77,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,618 ppm,,,,30/06/2021 01:16:23 p. m.
78,,25.5 °C,20.9 °C,19.2 °C,68.6 %,1 ppm,617 ppm,,,,30/06/2021 01:16:28 p. m.
79,,25.5 °C,20.9 °C,19.2 °C,68.5 %,0 ppm,619 ppm,,,,30/06/2021 01:16:33 p. m.
80,,25.5 °C,20.9 °C,19.2 °C,68.5 %,0 ppm,621 ppm,,,,30/06/2021 01:16:38 p. m.
81,,25.5 °C,20.9 °C,19.2 °C,68.5 %,1 ppm,620 ppm,,,,30/06/2021 01:16:43 p. m.
