Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
136,,25.0 °C,19.2 °C,16.7 °C,60.4 %,0 ppm,421 ppm,,,,23/09/2021 01:22:15 p. m.
137,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,421 ppm,,,,23/09/2021 01:22:16 p. m.
138,,25.0 °C,19.2 °C,16.8 °C,60.4 %,0 ppm,421 ppm,,,,23/09/2021 01:22:17 p. m.
139,,25.0 °C,19.2 °C,16.8 °C,60.4 %,1 ppm,423 ppm,,,,23/09/2021 01:22:18 p. m.
140,,25.0 °C,19.2 °C,16.7 °C,60.4 %,0 ppm,423 ppm,,,,23/09/2021 01:22:19 p. m.
141,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,425 ppm,,,,23/09/2021 01:22:20 p. m.
142,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,425 ppm,,,,23/09/2021 01:22:21 p. m.
143,,25.0 °C,19.2 °C,16.7 °C,60.4 %,0 ppm,424 ppm,,,,23/09/2021 01:22:22 p. m.
144,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,424 ppm,,,,23/09/2021 01:22:23 p. m.
145,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,423 ppm,,,,23/09/2021 01:22:24 p. m.
146,,25.0 °C,19.2 °C,16.7 °C,60.4 %,0 ppm,423 ppm,,,,23/09/2021 01:22:25 p. m.
147,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,422 ppm,,,,23/09/2021 01:22:26 p. m.
148,,25.0 °C,19.2 °C,16.7 °C,60.4 %,0 ppm,422 ppm,,,,23/09/2021 01:22:27 p. m.
149,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,423 ppm,,,,23/09/2021 01:22:28 p. m.
150,,25.0 °C,19.2 °C,16.7 °C,60.4 %,0 ppm,423 ppm,,,,23/09/2021 01:22:29 p. m.
151,,25.0 °C,19.2 °C,16.7 °C,60.4 %,0 ppm,424 ppm,,,,23/09/2021 01:22:30 p. m.
152,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,424 ppm,,,,23/09/2021 01:22:31 p. m.
153,,25.0 °C,19.2 °C,16.7 °C,60.4 %,1 ppm,425 ppm,,,,23/09/2021 01:22:32 p. m.
154,,25.0 °C,19.2 °C,16.8 °C,60.4 %,0 ppm,425 ppm,,,,23/09/2021 01:22:33 p. m.
155,,25.0 °C,19.2 °C,16.8 °C,60.5 %,0 ppm,424 ppm,,,,23/09/2021 01:22:34 p. m.
156,,25.0 °C,19.2 °C,16.8 °C,60.5 %,1 ppm,424 ppm,,,,23/09/2021 01:22:35 p. m.
157,,25.0 °C,19.2 °C,16.8 °C,60.6 %,0 ppm,425 ppm,,,,23/09/2021 01:22:36 p. m.
158,,25.0 °C,19.2 °C,16.8 °C,60.6 %,0 ppm,424 ppm,,,,23/09/2021 01:22:37 p. m.
159,,25.0 °C,19.2 °C,16.8 °C,60.7 %,0 ppm,423 ppm,,,,23/09/2021 01:22:38 p. m.
160,,25.0 °C,19.2 °C,16.8 °C,60.7 %,0 ppm,423 ppm,,,,23/09/2021 01:22:39 p. m.
161,,25.0 °C,19.2 °C,16.8 °C,60.9 %,0 ppm,423 ppm,,,,23/09/2021 01:22:40 p. m.
162,,25.0 °C,19.3 °C,16.9 °C,60.9 %,1 ppm,423 ppm,,,,23/09/2021 01:22:41 p. m.
163,,25.0 °C,19.3 °C,16.9 °C,61.0 %,1 ppm,422 ppm,,,,23/09/2021 01:22:42 p. m.
164,,25.0 °C,19.3 °C,16.9 °C,61.0 %,1 ppm,422 ppm,,,,23/09/2021 01:22:43 p. m.
165,,25.0 °C,19.3 °C,16.9 °C,61.2 %,1 ppm,421 ppm,,,,23/09/2021 01:22:44 p. m.
166,,25.0 °C,19.3 °C,16.9 °C,61.2 %,0 ppm,421 ppm,,,,23/09/2021 01:22:45 p. m.
167,,25.0 °C,19.3 °C,16.9 °C,61.3 %,0 ppm,420 ppm,,,,23/09/2021 01:22:46 p. m.
168,,25.0 °C,19.3 °C,17.0 °C,61.3 %,1 ppm,420 ppm,,,,23/09/2021 01:22:47 p. m.
169,,25.0 °C,19.3 °C,17.0 °C,61.3 %,1 ppm,421 ppm,,,,23/09/2021 01:22:48 p. m.
170,,25.0 °C,19.3 °C,17.0 °C,61.3 %,1 ppm,421 ppm,,,,23/09/2021 01:22:49 p. m.
171,,25.0 °C,19.3 °C,17.0 °C,61.3 %,0 ppm,421 ppm,,,,23/09/2021 01:22:50 p. m.
172,,25.0 °C,19.3 °C,17.0 °C,61.3 %,1 ppm,421 ppm,,,,23/09/2021 01:22:51 p. m.
173,,25.0 °C,19.3 °C,17.0 °C,61.3 %,1 ppm,421 ppm,,,,23/09/2021 01:22:52 p. m.
174,,25.0 °C,19.3 °C,17.0 °C,61.3 %,0 ppm,421 ppm,,,,23/09/2021 01:22:53 p. m.
175,,25.0 °C,19.3 °C,17.0 °C,61.3 %,0 ppm,418 ppm,,,,23/09/2021 01:22:54 p. m.
176,,25.0 °C,19.3 °C,17.0 °C,61.3 %,0 ppm,418 ppm,,,,23/09/2021 01:22:55 p. m.
177,,25.0 °C,19.3 °C,17.0 °C,61.2 %,0 ppm,417 ppm,,,,23/09/2021 01:22:56 p. m.
178,,25.0 °C,19.3 °C,17.0 °C,61.2 %,0 ppm,417 ppm,,,,23/09/2021 01:22:57 p. m.
179,,25.0 °C,19.3 °C,17.0 °C,61.2 %,1 ppm,419 ppm,,,,23/09/2021 01:22:58 p. m.
180,,25.0 °C,19.3 °C,17.0 °C,61.2 %,0 ppm,419 ppm,,,,23/09/2021 01:22:59 p. m.
181,,25.0 °C,19.3 °C,17.0 °C,61.2 %,0 ppm,419 ppm,,,,23/09/2021 01:23:00 p. m.
182,,25.0 °C,19.3 °C,17.0 °C,61.2 %,1 ppm,419 ppm,,,,23/09/2021 01:23:01 p. m.
183,,25.0 °C,19.3 °C,17.0 °C,61.2 %,1 ppm,418 ppm,,,,23/09/2021 01:23:02 p. m.
184,,25.0 °C,19.3 °C,17.0 °C,61.2 %,1 ppm,418 ppm,,,,23/09/2021 01:23:03 p. m.
185,,25.0 °C,19.3 °C,17.0 °C,61.2 %,1 ppm,418 ppm,,,,23/09/2021 01:23:04 p. m.
186,,25.0 °C,19.3 °C,17.0 °C,61.2 %,0 ppm,418 ppm,,,,23/09/2021 01:23:05 p. m.
187,,25.0 °C,19.3 °C,17.0 °C,61.2 %,1 ppm,418 ppm,,,,23/09/2021 01:23:06 p. m.
188,,25.0 °C,19.3 °C,17.0 °C,61.2 %,1 ppm,418 ppm,,,,23/09/2021 01:23:07 p. m.
189,,25.0 °C,19.3 °C,17.0 °C,61.2 %,0 ppm,418 ppm,,,,23/09/2021 01:23:08 p. m.
190,,25.0 °C,19.3 °C,17.0 °C,61.2 %,0 ppm,418 ppm,,,,23/09/2021 01:23:09 p. m.
191,,25.0 °C,19.3 °C,17.0 °C,61.1 %,0 ppm,418 ppm,,,,23/09/2021 01:23:10 p. m.
192,,25.0 °C,19.3 °C,16.9 °C,61.1 %,0 ppm,418 ppm,,,,23/09/2021 01:23:11 p. m.
193,,25.0 °C,19.3 °C,16.9 °C,61.1 %,0 ppm,419 ppm,,,,23/09/2021 01:23:12 p. m.
194,,25.0 °C,19.3 °C,16.9 °C,61.1 %,1 ppm,419 ppm,,,,23/09/2021 01:23:13 p. m.
195,,25.0 °C,19.3 °C,16.9 °C,61.0 %,1 ppm,420 ppm,,,,23/09/2021 01:23:14 p. m.
196,,25.0 °C,19.3 °C,16.9 °C,61.0 %,1 ppm,420 ppm,,,,23/09/2021 01:23:15 p. m.
197,,25.0 °C,19.3 °C,16.9 °C,60.9 %,0 ppm,421 ppm,,,,23/09/2021 01:23:16 p. m.
198,,25.0 °C,19.3 °C,16.9 °C,60.9 %,0 ppm,421 ppm,,,,23/09/2021 01:23:17 p. m.
199,,25.0 °C,19.3 °C,16.9 °C,60.9 %,1 ppm,421 ppm,,,,23/09/2021 01:23:18 p. m.
200,,25.0 °C,19.3 °C,16.9 °C,60.9 %,1 ppm,421 ppm,,,,23/09/2021 01:23:19 p. m.
201,,25.0 °C,19.3 °C,16.9 °C,60.8 %,1 ppm,422 ppm,,,,23/09/2021 01:23:20 p. m.
202,,25.0 °C,19.3 °C,16.9 °C,60.8 %,0 ppm,422 ppm,,,,23/09/2021 01:23:21 p. m.
203,,25.0 °C,19.3 °C,16.9 °C,60.8 %,0 ppm,425 ppm,,,,23/09/2021 01:23:22 p. m.
204,,25.0 °C,19.3 °C,16.9 °C,60.8 %,1 ppm,425 ppm,,,,23/09/2021 01:23:23 p. m.
205,,25.0 °C,19.3 °C,16.9 °C,60.8 %,0 ppm,426 ppm,,,,23/09/2021 01:23:24 p. m.
