Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
73,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,468 ppm,,,,26/07/2021 02:00:13 p. m.
74,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,468 ppm,,,,26/07/2021 02:00:14 p. m.
75,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,474 ppm,,,,26/07/2021 02:00:15 p. m.
76,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,474 ppm,,,,26/07/2021 02:00:16 p. m.
77,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,482 ppm,,,,26/07/2021 02:00:17 p. m.
78,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,482 ppm,,,,26/07/2021 02:00:18 p. m.
79,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,489 ppm,,,,26/07/2021 02:00:19 p. m.
80,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,489 ppm,,,,26/07/2021 02:00:20 p. m.
81,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,493 ppm,,,,26/07/2021 02:00:21 p. m.
82,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,493 ppm,,,,26/07/2021 02:00:22 p. m.
83,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,497 ppm,,,,26/07/2021 02:00:23 p. m.
84,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,497 ppm,,,,26/07/2021 02:00:24 p. m.
85,,27.4 °C,19.5 °C,16.2 °C,50.7 %,0 ppm,500 ppm,,,,26/07/2021 02:00:25 p. m.
86,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,500 ppm,,,,26/07/2021 02:00:26 p. m.
87,,27.4 °C,19.5 °C,16.2 °C,50.7 %,1 ppm,504 ppm,,,,26/07/2021 02:00:27 p. m.
88,,27.4 °C,19.5 °C,16.2 °C,50.8 %,1 ppm,504 ppm,,,,26/07/2021 02:00:28 p. m.
89,,27.4 °C,19.5 °C,16.2 °C,50.8 %,1 ppm,510 ppm,,,,26/07/2021 02:00:29 p. m.
90,,27.4 °C,19.5 °C,16.2 °C,50.8 %,0 ppm,510 ppm,,,,26/07/2021 02:00:30 p. m.
91,,27.4 °C,19.5 °C,16.2 °C,50.8 %,1 ppm,514 ppm,,,,26/07/2021 02:00:31 p. m.
92,,27.4 °C,19.5 °C,16.2 °C,50.8 %,0 ppm,514 ppm,,,,26/07/2021 02:00:32 p. m.
93,,27.4 °C,19.5 °C,16.2 °C,50.8 %,1 ppm,518 ppm,,,,26/07/2021 02:00:33 p. m.
94,,27.4 °C,19.5 °C,16.2 °C,50.8 %,0 ppm,518 ppm,,,,26/07/2021 02:00:34 p. m.
95,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,521 ppm,,,,26/07/2021 02:00:35 p. m.
96,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,521 ppm,,,,26/07/2021 02:00:36 p. m.
97,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,526 ppm,,,,26/07/2021 02:00:37 p. m.
98,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,525 ppm,,,,26/07/2021 02:00:38 p. m.
99,,27.4 °C,19.6 °C,16.3 °C,50.8 %,0 ppm,529 ppm,,,,26/07/2021 02:00:39 p. m.
100,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,529 ppm,,,,26/07/2021 02:00:40 p. m.
101,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,530 ppm,,,,26/07/2021 02:00:41 p. m.
102,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,530 ppm,,,,26/07/2021 02:00:42 p. m.
103,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,532 ppm,,,,26/07/2021 02:00:43 p. m.
104,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,532 ppm,,,,26/07/2021 02:00:44 p. m.
105,,27.4 °C,19.6 °C,16.3 °C,50.8 %,0 ppm,535 ppm,,,,26/07/2021 02:00:45 p. m.
106,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,535 ppm,,,,26/07/2021 02:00:46 p. m.
107,,27.4 °C,19.6 °C,16.3 °C,50.8 %,0 ppm,538 ppm,,,,26/07/2021 02:00:47 p. m.
108,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,539 ppm,,,,26/07/2021 02:00:48 p. m.
109,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,540 ppm,,,,26/07/2021 02:00:49 p. m.
110,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,540 ppm,,,,26/07/2021 02:00:50 p. m.
111,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,541 ppm,,,,26/07/2021 02:00:51 p. m.
112,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,541 ppm,,,,26/07/2021 02:00:52 p. m.
113,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,542 ppm,,,,26/07/2021 02:00:53 p. m.
114,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,542 ppm,,,,26/07/2021 02:00:54 p. m.
115,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,541 ppm,,,,26/07/2021 02:00:55 p. m.
116,,27.4 °C,19.6 °C,16.3 °C,50.8 %,0 ppm,541 ppm,,,,26/07/2021 02:00:56 p. m.
117,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,539 ppm,,,,26/07/2021 02:00:57 p. m.
118,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,540 ppm,,,,26/07/2021 02:00:58 p. m.
119,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,541 ppm,,,,26/07/2021 02:00:59 p. m.
120,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,541 ppm,,,,26/07/2021 02:01:00 p. m.
121,,27.4 °C,19.6 °C,16.3 °C,50.8 %,1 ppm,544 ppm,,,,26/07/2021 02:01:01 p. m.
122,,27.4 °C,19.6 °C,16.3 °C,50.9 %,1 ppm,544 ppm,,,,26/07/2021 02:01:02 p. m.
123,,27.4 °C,19.6 °C,16.3 °C,50.9 %,1 ppm,546 ppm,,,,26/07/2021 02:01:03 p. m.
124,,27.4 °C,19.6 °C,16.3 °C,50.9 %,0 ppm,546 ppm,,,,26/07/2021 02:01:04 p. m.
