Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
408,,26.5 °C,19.7 °C,16.9 °C,55.9 %,1 ppm,474 ppm,,,,18/10/2021 07:10:29 p. m.
409,,26.5 °C,19.7 °C,16.9 °C,55.8 %,1 ppm,481 ppm,,,,18/10/2021 07:11:29 p. m.
410,,26.5 °C,19.7 °C,16.9 °C,55.9 %,1 ppm,471 ppm,,,,18/10/2021 07:12:29 p. m.
411,,26.5 °C,19.5 °C,16.7 °C,55.6 %,1 ppm,474 ppm,,,,18/10/2021 07:13:29 p. m.
412,,26.4 °C,19.6 °C,16.8 °C,55.6 %,1 ppm,469 ppm,,,,18/10/2021 07:14:29 p. m.
413,,26.4 °C,19.6 °C,16.8 °C,55.6 %,1 ppm,465 ppm,,,,18/10/2021 07:15:29 p. m.
414,,26.5 °C,19.6 °C,16.8 °C,55.8 %,1 ppm,483 ppm,,,,18/10/2021 07:16:29 p. m.
415,,26.4 °C,19.6 °C,16.8 °C,55.9 %,1 ppm,470 ppm,,,,18/10/2021 07:17:29 p. m.
416,,26.4 °C,19.5 °C,16.6 °C,55.1 %,1 ppm,474 ppm,,,,18/10/2021 07:18:29 p. m.
417,,26.5 °C,19.6 °C,16.7 °C,55.1 %,1 ppm,448 ppm,,,,18/10/2021 07:19:29 p. m.
418,,26.5 °C,19.6 °C,16.7 °C,55.1 %,1 ppm,454 ppm,,,,18/10/2021 07:20:29 p. m.
419,,26.5 °C,19.6 °C,16.7 °C,55.2 %,1 ppm,459 ppm,,,,18/10/2021 07:21:29 p. m.
420,,26.5 °C,19.6 °C,16.8 °C,55.3 %,1 ppm,458 ppm,,,,18/10/2021 07:22:29 p. m.
421,,26.5 °C,19.6 °C,16.8 °C,55.4 %,1 ppm,469 ppm,,,,18/10/2021 07:23:29 p. m.
422,,26.5 °C,19.7 °C,16.9 °C,55.8 %,1 ppm,463 ppm,,,,18/10/2021 07:24:29 p. m.
423,,26.5 °C,19.7 °C,16.9 °C,55.9 %,1 ppm,463 ppm,,,,18/10/2021 07:25:29 p. m.
424,,26.5 °C,19.7 °C,16.9 °C,56.0 %,1 ppm,469 ppm,,,,18/10/2021 07:26:29 p. m.
425,,26.5 °C,19.7 °C,16.9 °C,55.8 %,1 ppm,487 ppm,,,,18/10/2021 07:27:29 p. m.
426,,26.5 °C,19.7 °C,16.9 °C,55.9 %,1 ppm,465 ppm,,,,18/10/2021 07:28:29 p. m.
427,,26.5 °C,19.8 °C,17.0 °C,56.1 %,1 ppm,473 ppm,,,,18/10/2021 07:29:29 p. m.
428,,26.5 °C,19.7 °C,16.9 °C,56.0 %,1 ppm,479 ppm,,,,18/10/2021 07:30:29 p. m.
429,,26.5 °C,19.7 °C,16.9 °C,55.9 %,1 ppm,472 ppm,,,,18/10/2021 07:31:29 p. m.
430,,26.5 °C,19.7 °C,16.9 °C,55.8 %,1 ppm,474 ppm,,,,18/10/2021 07:32:29 p. m.
431,,26.5 °C,19.8 °C,17.0 °C,56.0 %,1 ppm,474 ppm,,,,18/10/2021 07:33:29 p. m.
432,,26.5 °C,19.7 °C,16.9 °C,55.9 %,1 ppm,471 ppm,,,,18/10/2021 07:34:29 p. m.
433,,26.5 °C,19.7 °C,16.9 °C,55.9 %,1 ppm,472 ppm,,,,18/10/2021 07:35:29 p. m.
434,,26.4 °C,19.7 °C,16.9 °C,56.1 %,1 ppm,479 ppm,,,,18/10/2021 07:36:29 p. m.
435,,26.4 °C,19.7 °C,16.9 °C,56.1 %,1 ppm,468 ppm,,,,18/10/2021 07:37:29 p. m.
436,,26.5 °C,19.8 °C,17.0 °C,56.1 %,1 ppm,478 ppm,,,,18/10/2021 07:38:29 p. m.
437,,26.4 °C,19.7 °C,16.9 °C,56.1 %,1 ppm,487 ppm,,,,18/10/2021 07:39:29 p. m.
