Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
80,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,421 ppm,,,,30/07/2021 02:51:32 p. m.
81,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,425 ppm,,,,30/07/2021 02:51:33 p. m.
82,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,425 ppm,,,,30/07/2021 02:51:34 p. m.
83,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,429 ppm,,,,30/07/2021 02:51:35 p. m.
84,,28.9 °C,21.4 °C,18.5 °C,53.5 %,1 ppm,429 ppm,,,,30/07/2021 02:51:36 p. m.
85,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,429 ppm,,,,30/07/2021 02:51:37 p. m.
86,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,429 ppm,,,,30/07/2021 02:51:38 p. m.
87,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,430 ppm,,,,30/07/2021 02:51:39 p. m.
88,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,430 ppm,,,,30/07/2021 02:51:40 p. m.
89,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,432 ppm,,,,30/07/2021 02:51:41 p. m.
90,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,432 ppm,,,,30/07/2021 02:51:42 p. m.
91,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,435 ppm,,,,30/07/2021 02:51:43 p. m.
92,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,435 ppm,,,,30/07/2021 02:51:44 p. m.
93,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,437 ppm,,,,30/07/2021 02:51:45 p. m.
94,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,437 ppm,,,,30/07/2021 02:51:46 p. m.
95,,28.9 °C,21.3 °C,18.5 °C,53.5 %,1 ppm,439 ppm,,,,30/07/2021 02:51:47 p. m.
