Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
84,,25.4 °C,16.7 °C,12.3 °C,44.2 %,1 ppm,474 ppm,,,,03/11/2021 02:59:25 p. m.
85,,25.4 °C,16.8 °C,12.4 °C,44.4 %,1 ppm,509 ppm,,,,03/11/2021 03:00:25 p. m.
86,,25.4 °C,16.8 °C,12.4 °C,44.4 %,1 ppm,494 ppm,,,,03/11/2021 03:01:25 p. m.
87,,25.4 °C,16.8 °C,12.4 °C,44.4 %,1 ppm,496 ppm,,,,03/11/2021 03:02:25 p. m.
88,,25.4 °C,16.8 °C,12.4 °C,44.6 %,1 ppm,514 ppm,,,,03/11/2021 03:03:25 p. m.
89,,25.4 °C,16.8 °C,12.5 °C,44.9 %,1 ppm,507 ppm,,,,03/11/2021 03:04:25 p. m.
90,,25.4 °C,16.8 °C,12.5 °C,44.9 %,1 ppm,512 ppm,,,,03/11/2021 03:05:25 p. m.
91,,25.4 °C,16.9 °C,12.6 °C,45.0 %,0 ppm,528 ppm,,,,03/11/2021 03:06:25 p. m.
92,,25.4 °C,16.9 °C,12.6 °C,45.0 %,0 ppm,523 ppm,,,,03/11/2021 03:07:25 p. m.
93,,25.4 °C,16.9 °C,12.6 °C,45.2 %,1 ppm,521 ppm,,,,03/11/2021 03:08:25 p. m.
94,,25.4 °C,16.9 °C,12.6 °C,45.2 %,0 ppm,536 ppm,,,,03/11/2021 03:09:25 p. m.
95,,25.4 °C,16.9 °C,12.7 °C,45.4 %,1 ppm,536 ppm,,,,03/11/2021 03:10:25 p. m.
96,,25.4 °C,16.9 °C,12.7 °C,45.4 %,1 ppm,533 ppm,,,,03/11/2021 03:11:25 p. m.
97,,25.4 °C,16.9 °C,12.7 °C,45.4 %,1 ppm,544 ppm,,,,03/11/2021 03:12:25 p. m.
98,,25.4 °C,16.9 °C,12.7 °C,45.6 %,1 ppm,545 ppm,,,,03/11/2021 03:13:25 p. m.
99,,25.4 °C,16.9 °C,12.7 °C,45.6 %,1 ppm,558 ppm,,,,03/11/2021 03:14:25 p. m.
100,,25.4 °C,17.0 °C,12.8 °C,45.6 %,1 ppm,554 ppm,,,,03/11/2021 03:15:25 p. m.
101,,25.4 °C,17.0 °C,12.8 °C,45.8 %,1 ppm,559 ppm,,,,03/11/2021 03:16:25 p. m.
102,,25.4 °C,17.0 °C,12.8 °C,45.8 %,1 ppm,556 ppm,,,,03/11/2021 03:17:25 p. m.
103,,25.4 °C,17.0 °C,12.9 °C,45.9 %,1 ppm,582 ppm,,,,03/11/2021 03:18:25 p. m.
104,,25.4 °C,17.0 °C,12.8 °C,45.9 %,1 ppm,576 ppm,,,,03/11/2021 03:19:25 p. m.
105,,25.4 °C,17.1 °C,12.9 °C,46.0 %,1 ppm,577 ppm,,,,03/11/2021 03:20:25 p. m.
106,,25.4 °C,17.1 °C,12.9 °C,46.0 %,1 ppm,577 ppm,,,,03/11/2021 03:21:25 p. m.
107,,25.5 °C,17.1 °C,13.0 °C,46.0 %,1 ppm,582 ppm,,,,03/11/2021 03:22:25 p. m.
108,,25.5 °C,17.1 °C,13.0 °C,46.0 %,0 ppm,588 ppm,,,,03/11/2021 03:23:25 p. m.
109,,25.5 °C,17.1 °C,13.0 °C,46.1 %,1 ppm,589 ppm,,,,03/11/2021 03:24:25 p. m.
110,,25.5 °C,17.1 °C,13.0 °C,46.1 %,1 ppm,603 ppm,,,,03/11/2021 03:25:25 p. m.
111,,25.5 °C,17.1 °C,13.0 °C,46.2 %,1 ppm,605 ppm,,,,03/11/2021 03:26:25 p. m.
112,,25.5 °C,17.1 °C,13.0 °C,46.1 %,1 ppm,602 ppm,,,,03/11/2021 03:27:25 p. m.
113,,25.5 °C,17.2 °C,13.1 °C,46.2 %,1 ppm,600 ppm,,,,03/11/2021 03:28:25 p. m.
114,,25.5 °C,17.1 °C,13.0 °C,46.1 %,1 ppm,595 ppm,,,,03/11/2021 03:29:25 p. m.
115,,25.5 °C,17.1 °C,13.0 °C,46.0 %,1 ppm,614 ppm,,,,03/11/2021 03:30:25 p. m.
116,,25.5 °C,16.6 °C,12.0 °C,43.1 %,1 ppm,609 ppm,,,,03/11/2021 03:31:25 p. m.
117,,25.5 °C,16.4 °C,11.7 °C,42.4 %,1 ppm,582 ppm,,,,03/11/2021 03:32:25 p. m.
118,,25.5 °C,16.3 °C,11.5 °C,41.8 %,1 ppm,556 ppm,,,,03/11/2021 03:33:25 p. m.
119,,25.5 °C,16.3 °C,11.5 °C,41.8 %,1 ppm,528 ppm,,,,03/11/2021 03:34:25 p. m.
120,,25.5 °C,16.4 °C,11.7 °C,42.3 %,1 ppm,550 ppm,,,,03/11/2021 03:35:25 p. m.
121,,25.5 °C,16.4 °C,11.7 °C,42.4 %,1 ppm,550 ppm,,,,03/11/2021 03:36:25 p. m.
122,,25.5 °C,16.5 °C,11.9 °C,42.9 %,1 ppm,552 ppm,,,,03/11/2021 03:37:25 p. m.
123,,25.5 °C,16.5 °C,11.9 °C,42.9 %,1 ppm,549 ppm,,,,03/11/2021 03:38:25 p. m.
124,,25.5 °C,16.5 °C,11.9 °C,42.9 %,1 ppm,546 ppm,,,,03/11/2021 03:39:25 p. m.
125,,25.5 °C,16.5 °C,11.9 °C,43.0 %,1 ppm,553 ppm,,,,03/11/2021 03:40:25 p. m.
126,,25.5 °C,16.6 °C,12.0 °C,43.1 %,1 ppm,568 ppm,,,,03/11/2021 03:41:25 p. m.
127,,25.5 °C,16.7 °C,12.1 °C,43.4 %,1 ppm,571 ppm,,,,03/11/2021 03:42:25 p. m.
128,,25.5 °C,16.7 °C,12.1 °C,43.4 %,1 ppm,571 ppm,,,,03/11/2021 03:43:25 p. m.
129,,25.5 °C,16.7 °C,12.1 °C,43.4 %,1 ppm,571 ppm,,,,03/11/2021 03:44:25 p. m.
130,,25.5 °C,16.7 °C,12.2 °C,43.6 %,1 ppm,581 ppm,,,,03/11/2021 03:45:25 p. m.
