Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
94,,27.4 °C,18.8 °C,14.9 °C,46.6 %,1 ppm,508 ppm,,,,23/07/2021 03:21:47 p. m.
95,,27.4 °C,18.8 °C,14.9 °C,46.6 %,1 ppm,508 ppm,,,,23/07/2021 03:21:48 p. m.
96,,27.4 °C,18.8 °C,14.9 °C,46.6 %,1 ppm,510 ppm,,,,23/07/2021 03:21:49 p. m.
97,,27.4 °C,18.8 °C,14.9 °C,46.6 %,1 ppm,510 ppm,,,,23/07/2021 03:21:50 p. m.
98,,27.4 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,514 ppm,,,,23/07/2021 03:21:51 p. m.
99,,27.4 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,514 ppm,,,,23/07/2021 03:21:52 p. m.
100,,27.4 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,516 ppm,,,,23/07/2021 03:21:53 p. m.
101,,27.4 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,516 ppm,,,,23/07/2021 03:21:54 p. m.
102,,27.4 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,518 ppm,,,,23/07/2021 03:21:55 p. m.
103,,27.4 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,518 ppm,,,,23/07/2021 03:21:56 p. m.
104,,27.4 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,521 ppm,,,,23/07/2021 03:21:57 p. m.
105,,27.3 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,521 ppm,,,,23/07/2021 03:21:58 p. m.
106,,27.3 °C,18.7 °C,14.8 °C,46.7 %,1 ppm,523 ppm,,,,23/07/2021 03:21:59 p. m.
107,,27.3 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,523 ppm,,,,23/07/2021 03:22:00 p. m.
108,,27.3 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,524 ppm,,,,23/07/2021 03:22:01 p. m.
109,,27.3 °C,18.8 °C,14.9 °C,46.7 %,1 ppm,524 ppm,,,,23/07/2021 03:22:02 p. m.
110,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,526 ppm,,,,23/07/2021 03:22:03 p. m.
111,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,526 ppm,,,,23/07/2021 03:22:04 p. m.
112,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,528 ppm,,,,23/07/2021 03:22:05 p. m.
113,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,527 ppm,,,,23/07/2021 03:22:06 p. m.
114,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,532 ppm,,,,23/07/2021 03:22:07 p. m.
115,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,532 ppm,,,,23/07/2021 03:22:08 p. m.
116,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,533 ppm,,,,23/07/2021 03:22:09 p. m.
117,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,533 ppm,,,,23/07/2021 03:22:10 p. m.
118,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,534 ppm,,,,23/07/2021 03:22:11 p. m.
119,,27.3 °C,18.8 °C,14.9 °C,46.8 %,1 ppm,534 ppm,,,,23/07/2021 03:22:12 p. m.
120,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,535 ppm,,,,23/07/2021 03:22:13 p. m.
121,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,535 ppm,,,,23/07/2021 03:22:14 p. m.
122,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,535 ppm,,,,23/07/2021 03:22:15 p. m.
123,,27.4 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,535 ppm,,,,23/07/2021 03:22:16 p. m.
124,,27.4 °C,18.8 °C,15.0 °C,46.9 %,1 ppm,536 ppm,,,,23/07/2021 03:22:17 p. m.
125,,27.3 °C,18.8 °C,15.0 °C,46.9 %,1 ppm,536 ppm,,,,23/07/2021 03:22:18 p. m.
126,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,535 ppm,,,,23/07/2021 03:22:19 p. m.
127,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,535 ppm,,,,23/07/2021 03:22:20 p. m.
128,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,535 ppm,,,,23/07/2021 03:22:21 p. m.
129,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,535 ppm,,,,23/07/2021 03:22:22 p. m.
130,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,536 ppm,,,,23/07/2021 03:22:23 p. m.
131,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,536 ppm,,,,23/07/2021 03:22:24 p. m.
132,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,541 ppm,,,,23/07/2021 03:22:25 p. m.
133,,27.3 °C,18.8 °C,14.9 °C,46.9 %,1 ppm,541 ppm,,,,23/07/2021 03:22:26 p. m.
134,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,546 ppm,,,,23/07/2021 03:22:27 p. m.
135,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,546 ppm,,,,23/07/2021 03:22:28 p. m.
136,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,549 ppm,,,,23/07/2021 03:22:29 p. m.
137,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,549 ppm,,,,23/07/2021 03:22:30 p. m.
138,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,548 ppm,,,,23/07/2021 03:22:31 p. m.
139,,27.4 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,548 ppm,,,,23/07/2021 03:22:32 p. m.
140,,27.4 °C,18.8 °C,15.0 °C,47.0 %,1 ppm,550 ppm,,,,23/07/2021 03:22:33 p. m.
141,,27.3 °C,18.8 °C,15.0 °C,47.0 %,1 ppm,550 ppm,,,,23/07/2021 03:22:34 p. m.
142,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,552 ppm,,,,23/07/2021 03:22:35 p. m.
143,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,553 ppm,,,,23/07/2021 03:22:36 p. m.
144,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,553 ppm,,,,23/07/2021 03:22:37 p. m.
145,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,553 ppm,,,,23/07/2021 03:22:38 p. m.
146,,27.3 °C,18.8 °C,14.9 °C,47.0 %,1 ppm,554 ppm,,,,23/07/2021 03:22:39 p. m.
