ts,s8lp,sen0220,t3022,scd30
2021-07-20 15:28:14.504,,,948.0,
2021-07-20 15:28:54.407,906.0,,,
2021-07-20 15:28:58.648,,834.0,,
2021-07-20 15:29:12.210,,,,866.0
2021-07-20 15:29:14.270,,,952.0,
2021-07-20 15:29:54.324,906.0,,,
2021-07-20 15:29:58.717,,835.0,,
2021-07-20 15:30:14.250,,,950.0,
2021-07-20 15:30:15.288,,,,864.0
2021-07-20 15:30:54.259,906.0,,,
2021-07-20 15:30:58.790,,834.0,,
